isin,nemo,frecuencia,moneda
COL17CB0O5G4,BPEMINHTA4,PV,COP
COL17CB0LDC1,BPEMINHTA3,PV,COP
COL17CB0M7N8,BPEMINHTA4,PV,COP
COL40CB037U7,BPEMINHTA4,PV,COP
COL17CB0LQH2,BPEMINHTA4,PV,COP
COL17CB0N7H9,BPEMINHTA3,PV,COP
COL17CB0MAN2,BPEMINHTA4,PV,COP
COL40CB56969,BPEMINHTA4,PV,COP
COL40CB63205,BPEMINHTA3,PV,COP
COL17CB0LRZ2,BPEMINHTA3,PV,COP
COL17CB0W8C7,BPEMINHTA4,PV,COP
COL40CB037X1,BPEMINHTA4,PV,COP
COL17CB0Z9D0,BPEMINHTA4,PV,COP
COL40CB04YD3,BPEMINHTA4,PV,COP
COL17CB0Z805,BPEMINHTA4,PV,COP
COL17CB0M746,BPEMINHTA4,PV,COP
COL40CB03UG6,BPEMINHTA4,PV,COP
COL17CB0XRO1,BPEMINHTA4,PV,COP
COL40CB99530,BPEMINHTA4,PV,COP
COL17CB0U2B4,BPEMINHTA4,PV,COP
COL40CB01UM8,BPEMINHTA4,PV,COP
COL40CB93053,BPEMINHTA4,PV,COP
COL17CB0MKR2,BPEMINHTA4,PV,COP
COL40CB63247,BPEMINHTA4,PV,COP
COL17CB0LSC9,BPEMINHTA4,PV,COP
COL17CB0JOS8,BPEMINHTA4,PV,COP
COL40CB03UK8,BPEMINHTA4,PV,COP
COL17CB0U1Y8,BPEMINHTA4,PV,COP
COL17CB0U0T0,BPEMINHTA4,PV,COP
COL17CB0LZI1,BPEMINHTA3,PV,COP
COL40CB01S47,BPEMINHTA4,PV,COP
COL17CB0TWZ5,BPEMINHTA4,PV,COP
COL17CB0KVA9,BPEMINHTA4,PV,COP
COL17CB0LNZ1,BPEMINHTA4,PV,COP
COL40CB04Z78,BPEMINHTA4,PV,COP
COL40CB044H0,BPEMINHTA4,PV,COP
COL17CB0XSG5,BPEMINHTA4,PV,COP
COL40CB76652,BPEMINHTA4,PV,COP
COL17CB0NQ34,BPEMINHTA4,PV,COP
COL40CB94697,BPEMINHTA4,PV,COP
COL17CB0O4T0,BPEMINHTA4,PV,COP
COL17CB0UL71,BPEMINHTA4,PV,COP
COL40CB027N3,BPEMINHTA4,PV,COP
COL17CB0O6B3,BPEMINHTA4,PV,COP
COL17CB0TZ94,BPEMINHTA4,PV,COP
